sep=,
DeviceTag:,Left_Wrist,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
StartTime:,2021-05-31 22:25:39.701 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
45, 80630636, -37.494728088378906, 68.79547119140625, -106.97726440429688, -9.156106948852539, -2.1583139896392822, 2.4654948711395264, -4.476334571838379, -2.563589572906494, 13.965710639953613, 
46, 80647303, -37.179813385009766, 68.88957214355469, -106.54940795898438, -9.243913650512695, -2.1210594177246094, 2.4728050231933594, -4.059154987335205, -1.4055490493774414, 13.940574645996094, 
47, 80663970, -36.87511444091797, 68.98871612548828, -106.1612548828125, -9.239386558532715, -2.1436190605163574, 2.528414487838745, -2.5126781463623047, -0.6260196566581726, 13.21020793914795, 
48, 80680637, -36.52426528930664, 69.08614349365234, -105.76079559326172, -9.23221492767334, -1.9704563617706299, 2.5848138332366943, -0.49510014057159424, -0.8207657933235168, 13.165255546569824, 
49, 80697304, -36.15340805053711, 69.18135070800781, -105.31720733642578, -9.079163551330566, -1.807536005973816, 2.457594871520996, -1.7778488397598267, -1.409717321395874, 13.618215560913086, 
50, 80713971, -35.80357360839844, 69.28296661376953, -104.85302734375, -8.933155059814453, -1.8158842325210571, 2.4255928993225098, -4.263486862182617, -1.291617512702942, 13.98902702331543, 
51, 80730638, -35.478485107421875, 69.38726043701172, -104.3873291015625, -9.07663631439209, -1.8908997774124146, 2.4991486072540283, -5.892853260040283, -1.1200121641159058, 13.911959648132324, 
52, 80747305, -35.13385009765625, 69.48355102539062, -103.90692138671875, -9.214189529418945, -2.1047592163085938, 2.5898566246032715, -5.601686954498291, -1.6142224073410034, 13.729774475097656, 
53, 80763972, -34.777828216552734, 69.5652847290039, -103.451416015625, -9.111358642578125, -2.283701181411743, 2.633348226547241, -3.559885263442993, -1.9466944932937622, 12.687161445617676, 
54, 80780639, -34.400875091552734, 69.649169921875, -103.04696655273438, -9.02013111114502, -2.220526695251465, 2.648327350616455, 0.5368936657905579, -1.1391572952270508, 11.82413387298584, 
55, 80797306, -34.040531158447266, 69.72928619384766, -102.71688079833984, -9.113195419311523, -2.1082372665405273, 2.7302513122558594, 3.6969642639160156, -0.358712375164032, 10.35694694519043, 
56, 80813973, -33.70976638793945, 69.7927474975586, -102.43106079101562, -9.272150993347168, -1.9933606386184692, 2.834963321685791, 4.3848066329956055, -0.5898158550262451, 8.96642017364502, 
57, 80830640, -33.37396240234375, 69.834228515625, -102.121337890625, -9.40020751953125, -1.9002948999404907, 2.8684349060058594, 3.3086557388305664, -1.883750557899475, 8.574398040771484, 
58, 80847307, -33.06353759765625, 69.83903503417969, -101.79893493652344, -9.289510726928711, -1.9383387565612793, 2.8804514408111572, 1.0421744585037231, -3.8019113540649414, 7.513864517211914, 
59, 80863974, -32.808128356933594, 69.81507873535156, -101.50553131103516, -9.083399772644043, -1.9038933515548706, 2.815817356109619, -0.6507611870765686, -4.865331172943115, 6.036017894744873, 
60, 80880641, -32.617191314697266, 69.7684555053711, -101.27448272705078, -9.00489616394043, -1.9511698484420776, 2.8399288654327393, -1.0211975574493408, -5.277951240539551, 4.186305999755859, 
61, 80897308, -32.489933013916016, 69.7078628540039, -101.11573028564453, -9.076743125915527, -1.9166862964630127, 2.835827112197876, -0.7848755717277527, -5.1439642906188965, 2.457301616668701, 
62, 80913975, -32.372711181640625, 69.64643096923828, -100.97872161865234, -9.276265144348145, -1.763977289199829, 2.858004331588745, -0.17380139231681824, -4.9292216300964355, 2.021610736846924, 
63, 80930642, -32.2645378112793, 69.56681060791016, -100.82478332519531, -9.352808952331543, -1.6481959819793701, 2.8620851039886475, -1.6866666078567505, -6.030055999755859, 1.6917316913604736, 
64, 80947309, -32.18815994262695, 69.4765625, -100.66141510009766, -9.216815948486328, -1.5990265607833862, 2.8540265560150146, -4.1431427001953125, -6.675137996673584, 1.4653284549713135, 
65, 80963976, -32.147666931152344, 69.38322448730469, -100.5130386352539, -9.123998641967773, -1.6370086669921875, 2.8683505058288574, -5.469568252563477, -6.666257858276367, 1.0398823022842407, 
66, 80980643, -32.12022018432617, 69.29861450195312, -100.38855743408203, -9.172780990600586, -1.6135129928588867, 2.883185625076294, -4.928293704986572, -5.949126243591309, 0.8440346717834473, 
67, 80997310, -32.104740142822266, 69.21818542480469, -100.2892837524414, -9.30676555633545, -1.5921915769577026, 2.9175078868865967, -4.245991230010986, -5.451850891113281, 0.4665098786354065, 
68, 81013977, -32.120079040527344, 69.1319580078125, -100.22731018066406, -9.312421798706055, -1.5321152210235596, 2.9680886268615723, -4.021034240722656, -5.31826639175415, -0.4489074647426605, 
69, 81030644, -32.132606506347656, 69.0585708618164, -100.1644058227539, -9.211617469787598, -1.3385627269744873, 2.9684393405914307, -3.926126003265381, -4.672582626342773, -0.09056010097265244, 
70, 81047311, -32.15162658691406, 69.00045776367188, -100.08855438232422, -9.268353462219238, -1.2169955968856812, 3.0584523677825928, -5.066749572753906, -4.037502765655518, 0.546549379825592, 
71, 81063978, -32.185646057128906, 68.9462661743164, -100.00676727294922, -9.463627815246582, -1.1630640029907227, 3.150273323059082, -6.330750942230225, -3.8908331394195557, 0.6863821744918823, 
72, 81080645, -32.21267318725586, 68.89788055419922, -99.90229034423828, -9.461109161376953, -1.0390969514846802, 3.147312879562378, -7.217091083526611, -3.842283248901367, 1.1857274770736694, 
73, 81097312, -32.23269271850586, 68.86775970458984, -99.77201843261719, -9.29456901550293, -0.9034900665283203, 3.061436176300049, -8.273703575134277, -3.199878454208374, 2.1295042037963867, 
74, 81113979, -32.25687026977539, 68.87702178955078, -99.63543701171875, -9.314960479736328, -0.8021690845489502, 3.0728585720062256, -8.915034294128418, -1.2664268016815186, 3.3893938064575195, 
75, 81130646, -32.24037170410156, 68.92552947998047, -99.47359466552734, -9.468484878540039, -0.7501277923583984, 3.1537952423095703, -7.930482387542725, 0.44496962428092957, 4.98140287399292, 
76, 81147313, -32.14847946166992, 69.01539611816406, -99.26681518554688, -9.502909660339355, -0.7325446605682373, 3.2046961784362793, -5.966986179351807, 2.052576780319214, 6.989080429077148, 
77, 81163980, -32.006263732910156, 69.15808868408203, -99.03875732421875, -9.482453346252441, -0.7935957312583923, 3.2326841354370117, -4.1904120445251465, 4.536395072937012, 8.90957260131836, 
78, 81180647, -31.819669723510742, 69.36200714111328, -98.81277465820312, -9.522186279296875, -0.8911724090576172, 3.2183516025543213, -1.46278715133667, 7.748116493225098, 10.663817405700684, 
79, 81197314, -31.59503173828125, 69.61553955078125, -98.61305236816406, -9.674236297607422, -1.048790693283081, 3.263225793838501, 2.243302822113037, 10.653661727905273, 11.597798347473145, 
80, 81213981, -31.303388595581055, 69.90666961669922, -98.41976165771484, -9.756446838378906, -1.1056208610534668, 3.3329648971557617, 6.582587242126465, 12.746125221252441, 12.492149353027344, 
81, 81230648, -30.960981369018555, 70.21961212158203, -98.22415161132812, -9.658027648925781, -1.0838295221328735, 3.3221564292907715, 9.454277038574219, 13.96977710723877, 13.02815055847168, 
82, 81247315, -30.617115020751953, 70.54920959472656, -98.03752136230469, -9.505702018737793, -1.0520893335342407, 3.2898831367492676, 10.00791072845459, 15.06026840209961, 13.18844985961914, 
