PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
127,81997330,-2.841507196,-52.23542023,-167.4325256,-6.436324596,-0.948310256,-5.636235237,116.1196671,-377.009552,-257.6919861, 
128,82013997,4.786817551,-58.14127731,-174.7132416,-5.252514362,1.511030436,-5.10087204,99.27136993,-358.9528503,-244.3930817, 
129,82030664,14.46398926,-63.36753845,175.5833893,-3.029289722,2.450694084,-3.459408283,72.40439606,-356.3228455,-228.6855164, 
130,82047331,27.12613869,-67.55693817,162.5118256,-0.513427258,2.851063013,-1.172762275,45.63732147,-349.3370056,-215.6608887, 
131,82063998,43.04999161,-70.19642639,145.425293,-0.981983721,3.129033566,1.809702516,-1.772568226,-340.0481262,-211.3844604, 
132,82080665,60.92967987,-70.85816956,125.7628784,-1.372518659,0.925260544,1.266148806,-40.48151398,-332.6558838,-210.1870728, 
133,82097332,77.01220703,-69.51802063,108.0348282,-1.407303691,1.094903469,-1.220467448,-36.59012222,-306.7706604,-202.9040985, 
134,82113999,88.60348511,-66.91876984,95.14451599,-0.782554507,1.628848195,-3.777501583,-23.20803833,-264.7021179,-189.3813782, 
135,82130666,96.3510437,-63.55323792,86.46248627,-0.482776105,2.303403378,-3.033021212,-8.462765694,-226.3302155,-191.4152679, 
136,82147333,101.5540771,-59.78982925,80.41001129,0.70113641,3.764533281,-2.795129299,-7.668974876,-204.9895172,-195.5368652, 
137,82164000,104.4116058,-56.02509689,76.52333069,2.794867516,5.282827854,-4.446377277,-26.19804001,-171.1162262,-191.6869354, 
138,82180667,105.7508469,-52.64611435,74.19158173,4.272070885,5.718931198,-5.419491291,-33.34181976,-131.1296234,-173.9760437, 
139,82197334,106.0642471,-49.59215927,73.12134552,5.107384682,5.445486546,-5.388907433,-31.19617271,-88.57585907,-164.6203461, 
140,82214001,105.9791565,-46.89442825,72.79267883,4.346582413,6.657580376,-3.45618248,-19.83337212,-56.8684845,-151.3983307, 
141,82230668,105.8158951,-44.64637756,72.6522522,3.704250574,8.605443001,-2.217519283,-15.85226154,-42.17063522,-127.5426788, 
142,82247335,105.4222031,-42.89331055,72.71090698,4.927210331,9.639780998,-1.881106973,-21.1940918,-25.44530296,-101.3873672, 
143,82264002,105.0669174,-41.64506149,72.85112,5.708434582,9.30681324,-0.759447992,-15.65690041,-13.26549816,-73.28417206, 
144,82280669,104.8701553,-40.8732605,72.86710358,7.102900505,10.35152721,-0.894463301,-11.15756702,-10.85723019,-44.30875778, 
