PacketCounter,Euler_X,Euler_Y,Euler_Z,Unnamed: 11
166,-30.59730721,-83.80663299999999,-152.9298248, 
167,-52.91740036,-78.15585327,-133.7787018, 
168,-62.83537292,-71.49069977,-127.58494569999999, 
169,-68.38396454,-64.57757568,-125.14734650000001, 
170,-71.51247406,-57.65180206,-123.9894943, 
171,-73.10376740000001,-50.71146774,-123.36011509999999, 
172,-73.06838226,-43.63706589,-123.36885829999999, 
173,-72.25940704,-36.21310043,-123.68236540000001, 
174,-71.71862793,-28.74059677,-124.26290130000001, 
175,-71.30371094,-21.80706596,-125.6708527, 
176,-70.36422729,-15.39278793,-127.8884125, 
177,-68.99274445,-9.187398911,-130.6921844, 
178,-67.6157074,-3.394656897,-134.2247467, 
179,-66.24926758,1.576644063,-138.63801569999998, 
180,-64.66326904,5.5782399179999995,-143.6508026, 
181,-62.77203369,8.793901443,-148.5183411, 
182,-61.86357879999999,11.02600384,-153.4810181, 
183,-61.41152191,12.06893635,-158.8495331, 
184,-61.3740654,12.07014751,-164.3421631, 
185,-61.79062653,11.2540102,-169.4625244, 
186,-62.64594269,9.928382874,-173.87579350000001, 
187,-63.79615402,8.307837486,-177.5579071, 
188,-65.13689423,6.427844524,179.3780975, 
189,-66.50730896,4.3152160639999995,176.78466799999998, 
190,-67.70081329,2.18981576,174.6244507, 
191,-68.63790894,0.300850749,172.92150880000003, 
192,-69.4309082,-1.231893539,171.7336884, 
193,-70.19430542,-2.5249378680000003,170.9213104, 
194,-71.36089325,-2.849100351,170.60714719999999, 
195,-72.67887878,-2.4912440780000003,170.5353851, 
196,-71.78039551,-2.030511141,170.4666138, 
197,-69.99607086,-1.4775335790000002,170.4958038, 
198,-68.36136627,-0.9229086040000001,170.5872192, 
199,-67.56778717,-0.397657663,170.872757, 
200,-67.99295044,0.090757884,171.280426, 
201,-68.96085358,0.20394136,171.5448303, 
202,-69.64506531,-0.113689005,171.5977325, 
203,-69.72435759999999,-0.5778290629999999,171.5641632, 
204,-69.21646881,-0.76107955,171.5128479, 
205,-68.37750244,-0.8132879140000001,171.5749359, 
206,-67.61541748,-1.03483808,171.6376495, 
207,-67.06616211,-1.190704823,171.7295532, 
208,-66.83946228,-1.262444258,171.87420649999999, 
209,-66.81346893,-1.295737863,172.0209045, 
210,-66.93779755,-1.3444979190000002,172.1430664, 
211,-67.0022583,-1.4232391119999999,172.23730469999998, 
212,-66.83014679,-1.5185471769999999,172.33781430000002, 
213,-66.40460968,-1.650020719,172.4628296, 
214,-65.72266388,-1.8152449130000001,172.5864716, 
215,-64.66708374,-1.9930166009999999,172.7270966, 
216,-63.1327858,-2.152061224,172.91185, 
217,-61.06776047,-2.247373343,173.1810303, 
218,-58.48223114,-2.120014668,173.55847169999998, 
219,-55.47706985,-1.727196455,174.0331726, 
220,-51.89377975,-1.060330153,174.59909059999998, 
221,-47.70992279,-0.07806813,175.2841034, 
222,-43.18009567,1.27112031,176.0810394, 
223,-38.54833984,2.92099452,176.9936523, 
224,-34.22066498,4.824584484,178.0366211, 
225,-30.409572600000004,6.937805653,179.26239009999998, 
226,-27.21442032,9.246499062,-179.184021, 
227,-24.73841286,11.77591515,-177.3264923, 
228,-23.37267494,14.42407703,-175.27328490000002, 
229,-23.59802437,17.10125732,-173.0090332, 
230,-25.33157539,19.74801064,-170.55784609999998, 
231,-28.02381134,22.31468964,-168.1073914, 
232,-30.9539814,24.91665459,-165.9858856, 
233,-33.23709106,27.61592293,-164.2286835, 
