PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Unnamed: 11
366,85980743,-32.42225647,57.16836929,-133.0263062, 
367,85997410,-31.48471451,54.55527496,-131.7832947, 
368,86014077,-30.11489868,51.86330795,-130.71540829999998, 
369,86030744,-28.640728000000003,49.14063644,-129.8725433, 
370,86047411,-27.3392868,46.40516281,-129.1968994, 
371,86064078,-26.29509735,43.73259354,-128.69989009999998, 
372,86080745,-25.383045199999998,41.22012711,-128.4419861, 
373,86097412,-24.29559708,38.92635345,-128.3079376, 
374,86114079,-22.969762799999998,36.89598846,-128.2776642, 
375,86130746,-21.59057999,35.11050415,-128.30021670000002, 
376,86147413,-20.354702,33.61389923,-128.3457642, 
377,86164080,-19.22691536,32.44890594,-128.3986053, 
378,86180747,-18.06632233,31.57676697,-128.4193268, 
379,86197414,-16.95496559,30.9717598,-128.44610600000001, 
380,86214081,-16.03348732,30.6108799,-128.4712982, 
381,86230748,-15.28014278,30.44995308,-128.4591675, 
382,86247415,-14.61130619,30.45476532,-128.4515839, 
383,86264082,-14.02056217,30.53683281,-128.4362946, 
384,86280749,-13.59745407,30.65821648,-128.42254640000002, 
385,86297416,-13.32533169,30.80783463,-128.4195709, 
386,86314083,-13.16553211,30.950737,-128.438385, 
387,86330750,-12.98855114,31.11032295,-128.4472504, 
388,86347417,-12.75716114,31.26728439,-128.43434140000002, 
389,86364084,-12.53434086,31.41407585,-128.4109497, 
390,86380751,-12.38085651,31.550586699999997,-128.4232635, 
391,86397418,-12.24191856,31.71673584,-128.4646301, 
392,86414085,-12.08830929,31.90810966,-128.5148926, 
393,86430752,-11.95479107,32.11180878,-128.56274409999997, 
394,86447419,-11.8328867,32.30894089,-128.604126, 
395,86464086,-11.75566769,32.47060776,-128.6346588, 
396,86480753,-11.69697189,32.6181488,-128.6255798, 
397,86497420,-11.57611847,32.73666,-128.5727081, 
398,86514087,-11.460186,32.85928726,-128.4931946, 
399,86530754,-11.5666151,32.93322754,-128.408844, 
400,86547421,-11.95512486,32.86436462,-128.3970947, 
401,86564088,-12.33073902,32.79177856,-128.44778440000002, 
402,86580755,-12.58219242,32.73077393,-128.4982147, 
403,86597422,-12.89084625,32.54794693,-128.55050659999998, 
404,86614089,-13.41361523,32.25505447,-128.663208, 
